INSERT INTO `shangpinxinxi` (`id`, `addtime`, `shangpinmingcheng`, `shangpinfenlei`, `tupian`, `biaoqian`, `pinpai`, `shangpinxiangqing`, `clicktime`, `clicknum`, `price`) VALUES
(166,'2024-08-31 20:00:00','KAWAI CA33 数码钢琴','键盘','http://localhost:8080/wangshangshangchengB/upload/pics/键盘/digitalpiano/KAWAI CA33 数码钢琴.jpg','digitalpiano','KAWAI','KAWAI CA33 数码钢琴','2024-08-31 20:00:00',1,26008.78),
(167,'2024-08-31 20:00:00','KAWAI CA99 数码钢琴','键盘','http://localhost:8080/wangshangshangchengB/upload/pics/键盘/digitalpiano/KAWAI CA99 数码钢琴.jpg','digitalpiano','KAWAI','KAWAI CA99 数码钢琴','2024-08-31 20:00:00',1,22935.35),
(168,'2024-08-31 20:00:00','KAWAI DG30 数码钢琴','键盘','http://localhost:8080/wangshangshangchengB/upload/pics/键盘/digitalpiano/KAWAI DG30 数码钢琴.jpg','digitalpiano','KAWAI','KAWAI DG30 数码钢琴','2024-08-31 20:00:00',1,75357.16),
(169,'2024-08-31 20:00:00','KAWAI ES105 数码钢琴','键盘','http://localhost:8080/wangshangshangchengB/upload/pics/键盘/digitalpiano/KAWAI ES105 数码钢琴.jpg','digitalpiano','KAWAI','KAWAI ES105 数码钢琴','2024-08-31 20:00:00',1,53494.52),
(170,'2024-08-31 20:00:00','KAWAI KCP90 数码钢琴','键盘','http://localhost:8080/wangshangshangchengB/upload/pics/键盘/digitalpiano/KAWAI KCP90 数码钢琴.jpg','digitalpiano','KAWAI','KAWAI KCP90 数码钢琴','2024-08-31 20:00:00',1,64357.83),
(171,'2024-08-31 20:00:00','KAWAI KDP110G 数码钢琴','键盘','http://localhost:8080/wangshangshangchengB/upload/pics/键盘/digitalpiano/KAWAI KDP110G 数码钢琴.jpg','digitalpiano','KAWAI','KAWAI KDP110G 数码钢琴','2024-08-31 20:00:00',1,10993.83),
(172,'2024-08-31 20:00:00','KAWAI KDP88G 数码钢琴','键盘','http://localhost:8080/wangshangshangchengB/upload/pics/键盘/digitalpiano/KAWAI KDP88G 数码钢琴.jpg','digitalpiano','KAWAI','KAWAI KDP88G 数码钢琴','2024-08-31 20:00:00',1,37740.33),
(173,'2024-08-31 20:00:00','KAWAI MP7SE 数码钢琴','键盘','http://localhost:8080/wangshangshangchengB/upload/pics/键盘/digitalpiano/KAWAI MP7SE 数码钢琴.jpg','digitalpiano','KAWAI','KAWAI MP7SE 数码钢琴','2024-08-31 20:00:00',1,40894.28),
(174,'2024-08-31 20:00:00','KAWAI NOVUS NV10S 混合钢琴','键盘','http://localhost:8080/wangshangshangchengB/upload/pics/键盘/digitalpiano/KAWAI NOVUS NV10S 混合钢琴.jpg','digitalpiano','KAWAI','KAWAI NOVUS NV10S 混合钢琴','2024-08-31 20:00:00',1,8251.13),
(175,'2024-08-31 20:00:00','Roland F-701 极简北欧风数码钢琴','键盘','http://localhost:8080/wangshangshangchengB/upload/pics/键盘/digitalpiano/Roland F-701 极简北欧风数码钢琴.jpg','digitalpiano','Roland','Roland F-701 极简北欧风数码钢琴','2024-08-31 20:00:00',1,59837.01),
(176,'2024-08-31 20:00:00','Roland FP-30X 初学必入手数码钢琴','键盘','http://localhost:8080/wangshangshangchengB/upload/pics/键盘/digitalpiano/Roland FP-30X 初学必入手数码钢琴.jpg','digitalpiano','Roland','Roland FP-30X 初学必入手数码钢琴','2024-08-31 20:00:00',1,89925.19),
(177,'2024-08-31 20:00:00','Roland LX-705 优雅高性能 数码钢琴','键盘','http://localhost:8080/wangshangshangchengB/upload/pics/键盘/digitalpiano/Roland LX-705 优雅高性能 数码钢琴.jpg','digitalpiano','Roland','Roland LX-705 优雅高性能 数码钢琴','2024-08-31 20:00:00',1,27608.66),
(178,'2024-08-31 20:00:00','Roland LX-706 高阶家用钢琴','键盘','http://localhost:8080/wangshangshangchengB/upload/pics/键盘/digitalpiano/Roland LX-706 高阶家用钢琴.jpg','digitalpiano','Roland','Roland LX-706 高阶家用钢琴','2024-08-31 20:00:00',1,32550.16),
(179,'2024-08-31 20:00:00','Roland 性价比之皇 DP-603','键盘','http://localhost:8080/wangshangshangchengB/upload/pics/键盘/digitalpiano/Roland 性价比之皇 DP-603.jpg','digitalpiano','Roland','Roland 性价比之皇 DP-603','2024-08-31 20:00:00',1,80788.18),
(180,'2024-08-31 20:00:00','Markbass CMD JB Players School bass combo贝司音箱','音箱及录音','http://localhost:8080/wangshangshangchengB/upload/pics/音箱及录音/bassamplifier/Markbass CMD JB Players School bass combo贝司音箱.jpg','bassamplifier','Markbass','Markbass CMD JB Players School bass combo贝司音箱','2024-08-31 20:00:00',1,56631.25),
(181,'2024-08-31 20:00:00','Markbass Gold Line Little MarkVintage 贝司箱头','音箱及录音','http://localhost:8080/wangshangshangchengB/upload/pics/音箱及录音/bassamplifier/Markbass Gold Line Little MarkVintage 贝司箱头.jpg','bassamplifier','Markbass','Markbass Gold Line Little MarkVintage 贝司箱头','2024-08-31 20:00:00',1,81340.95),
(182,'2024-08-31 20:00:00','Markbass Little Marcus 1000贝司箱头','音箱及录音','http://localhost:8080/wangshangshangchengB/upload/pics/音箱及录音/bassamplifier/Markbass Little Marcus 1000贝司箱头.jpg','bassamplifier','Markbass','Markbass Little Marcus 1000贝司箱头','2024-08-31 20:00:00',1,23148.32),
(183,'2024-08-31 20:00:00','Markbass Little Mark III贝司箱头','音箱及录音','http://localhost:8080/wangshangshangchengB/upload/pics/音箱及录音/bassamplifier/Markbass Little Mark III贝司箱头.jpg','bassamplifier','Markbass','Markbass Little Mark III贝司箱头','2024-08-31 20:00:00',1,89153.91),
(184,'2024-08-31 20:00:00','Markbass Little Mark Tube 贝司箱头','音箱及录音','http://localhost:8080/wangshangshangchengB/upload/pics/音箱及录音/bassamplifier/Markbass Little Mark Tube 贝司箱头.jpg','bassamplifier','Markbass','Markbass Little Mark Tube 贝司箱头','2024-08-31 20:00:00',1,74741.17),
(185,'2024-08-31 20:00:00','Markbass Micromark 801 Combo贝司音箱','音箱及录音','http://localhost:8080/wangshangshangchengB/upload/pics/音箱及录音/bassamplifier/Markbass Micromark 801 Combo贝司音箱.jpg','bassamplifier','Markbass','Markbass Micromark 801 Combo贝司音箱','2024-08-31 20:00:00',1,50226.34),
(186,'2024-08-31 20:00:00','Markbass Standard 104 HF 4Ω箱体','音箱及录音','http://localhost:8080/wangshangshangchengB/upload/pics/音箱及录音/bassamplifier/Markbass Standard 104 HF 4Ω箱体.jpg','bassamplifier','Markbass','Markbass Standard 104 HF 4Ω箱体','2024-08-31 20:00:00',1,63567.03),
(187,'2024-08-31 20:00:00','Markbass Vintage pre电子管贝斯前级效果器','音箱及录音','http://localhost:8080/wangshangshangchengB/upload/pics/音箱及录音/bassamplifier/Markbass Vintage pre电子管贝斯前级效果器.jpg','bassamplifier','Markbass','Markbass Vintage pre电子管贝斯前级效果器','2024-08-31 20:00:00',1,42595.54),
(188,'2024-08-31 20:00:00','Orange Crush 25 贝司音箱','音箱及录音','http://localhost:8080/wangshangshangchengB/upload/pics/音箱及录音/bassamplifier/Orange Crush 25 贝司音箱.jpg','bassamplifier','Orange','Orange Crush 25 贝司音箱','2024-08-31 20:00:00',1,72409.3),
(189,'2024-08-31 20:00:00','Roland PM-03 电子鼓监听音箱','音箱及录音','http://localhost:8080/wangshangshangchengB/upload/pics/音箱及录音/edrumamplifier/Roland PM-03 电子鼓监听音箱.jpg','edrumamplifier','Roland','Roland PM-03 电子鼓监听音箱','2024-08-31 20:00:00',1,4093.82),
(190,'2024-08-31 20:00:00','Roland PM-100 电子鼓监听音箱','音箱及录音','http://localhost:8080/wangshangshangchengB/upload/pics/音箱及录音/edrumamplifier/Roland PM-100 电子鼓监听音箱.jpg','edrumamplifier','Roland','Roland PM-100 电子鼓监听音箱','2024-08-31 20:00:00',1,28777.67),
(191,'2024-08-31 20:00:00','DV Mark DV Jazz 12 50W 結他音箱','音箱及录音','http://localhost:8080/wangshangshangchengB/upload/pics/音箱及录音/guitaramplifier/DV Mark DV Jazz 12 50W 結他音箱.jpg','guitaramplifier','DV','DV Mark DV Jazz 12 50W 結他音箱','2024-08-31 20:00:00',1,31127.52),
(192,'2024-08-31 20:00:00','DV Mark LITTLE 40 II Tube 吉他音箱功放頭','音箱及录音','http://localhost:8080/wangshangshangchengB/upload/pics/音箱及录音/guitaramplifier/DV Mark LITTLE 40 II Tube 吉他音箱功放頭.jpg','guitaramplifier','DV','DV Mark LITTLE 40 II Tube 吉他音箱功放頭','2024-08-31 20:00:00',1,64680.32),
(193,'2024-08-31 20:00:00','DV Mark Neoclassic 212 吉他箱体','音箱及录音','http://localhost:8080/wangshangshangchengB/upload/pics/音箱及录音/guitaramplifier/DV Mark Neoclassic 212 吉他箱体.jpg','guitaramplifier','DV','DV Mark Neoclassic 212 吉他箱体','2024-08-31 20:00:00',1,87104.24),
(194,'2024-08-31 20:00:00','DV Mark Neoclassic 412 吉他箱体','音箱及录音','http://localhost:8080/wangshangshangchengB/upload/pics/音箱及录音/guitaramplifier/DV Mark Neoclassic 412 吉他箱体.jpg','guitaramplifier','DV','DV Mark Neoclassic 412 吉他箱体','2024-08-31 20:00:00',1,44734.59),
(195,'2024-08-31 20:00:00','Orange Crush 12吉他音箱','音箱及录音','http://localhost:8080/wangshangshangchengB/upload/pics/音箱及录音/guitaramplifier/Orange Crush 12吉他音箱.jpg','guitaramplifier','Orange','Orange Crush 12吉他音箱','2024-08-31 20:00:00',1,85799.96),
(196,'2024-08-31 20:00:00','Orange Crush 20RT吉他音箱','音箱及录音','http://localhost:8080/wangshangshangchengB/upload/pics/音箱及录音/guitaramplifier/Orange Crush 20RT吉他音箱.jpg','guitaramplifier','Orange','Orange Crush 20RT吉他音箱','2024-08-31 20:00:00',1,57199.0),
(197,'2024-08-31 20:00:00','Orange Crush Acoustic 30木吉他音箱','音箱及录音','http://localhost:8080/wangshangshangchengB/upload/pics/音箱及录音/guitaramplifier/Orange Crush Acoustic 30木吉他音箱.jpg','guitaramplifier','Orange','Orange Crush Acoustic 30木吉他音箱','2024-08-31 20:00:00',1,49825.04),
(198,'2024-08-31 20:00:00','Orange Crush Mini吉他音箱','音箱及录音','http://localhost:8080/wangshangshangchengB/upload/pics/音箱及录音/guitaramplifier/Orange Crush Mini吉他音箱.jpg','guitaramplifier','Orange','Orange Crush Mini吉他音箱','2024-08-31 20:00:00',1,38074.9),
(199,'2024-08-31 20:00:00','Orange Crush Pro CR412 吉他箱头','音箱及录音','http://localhost:8080/wangshangshangchengB/upload/pics/音箱及录音/guitaramplifier/Orange Crush Pro CR412 吉他箱头.jpg','guitaramplifier','Orange','Orange Crush Pro CR412 吉他箱头','2024-08-31 20:00:00',1,38463.64),
(200,'2024-08-31 20:00:00','Orange OR15 电子管吉他箱头','音箱及录音','http://localhost:8080/wangshangshangchengB/upload/pics/音箱及录音/guitaramplifier/Orange OR15 电子管吉他箱头.jpg','guitaramplifier','Orange','Orange OR15 电子管吉他箱头','2024-08-31 20:00:00',1,2432.23),
(201,'2024-08-31 20:00:00','Orange PPC112 吉他箱体','音箱及录音','http://localhost:8080/wangshangshangchengB/upload/pics/音箱及录音/guitaramplifier/Orange PPC112 吉他箱体.jpg','guitaramplifier','Orange','Orange PPC112 吉他箱体','2024-08-31 20:00:00',1,2572.9),
(202,'2024-08-31 20:00:00','Orange PPC212OB 吉他箱体','音箱及录音','http://localhost:8080/wangshangshangchengB/upload/pics/音箱及录音/guitaramplifier/Orange PPC212OB 吉他箱体.jpg','guitaramplifier','Orange','Orange PPC212OB 吉他箱体','2024-08-31 20:00:00',1,85088.44),
(203,'2024-08-31 20:00:00','Orange Rocker 15 Terror吉他箱头','音箱及录音','http://localhost:8080/wangshangshangchengB/upload/pics/音箱及录音/guitaramplifier/Orange Rocker 15 Terror吉他箱头.jpg','guitaramplifier','Orange','Orange Rocker 15 Terror吉他箱头','2024-08-31 20:00:00',1,14967.54),
(204,'2024-08-31 20:00:00','Orange Rockerverb 100 MKIII英产吉他箱头','音箱及录音','http://localhost:8080/wangshangshangchengB/upload/pics/音箱及录音/guitaramplifier/Orange Rockerverb 100 MKIII英产吉他箱头.jpg','guitaramplifier','Orange','Orange Rockerverb 100 MKIII英产吉他箱头','2024-08-31 20:00:00',1,73621.96),
(205,'2024-08-31 20:00:00','Orange Teleport迷你声卡','音箱及录音','http://localhost:8080/wangshangshangchengB/upload/pics/音箱及录音/guitaramplifier/Orange Teleport迷你声卡.jpg','guitaramplifier','Orange','Orange Teleport迷你声卡','2024-08-31 20:00:00',1,10773.69),
(206,'2024-08-31 20:00:00','Orange Terror Stamp吉他箱头','音箱及录音','http://localhost:8080/wangshangshangchengB/upload/pics/音箱及录音/guitaramplifier/Orange Terror Stamp吉他箱头.jpg','guitaramplifier','Orange','Orange Terror Stamp吉他箱头','2024-08-31 20:00:00',1,47433.21),
(207,'2024-08-31 20:00:00','Orange TH100电子管箱头','音箱及录音','http://localhost:8080/wangshangshangchengB/upload/pics/音箱及录音/guitaramplifier/Orange TH100电子管箱头.jpg','guitaramplifier','Orange','Orange TH100电子管箱头','2024-08-31 20:00:00',1,53087.92),
(208,'2024-08-31 20:00:00','Orange TH30电子管箱头','音箱及录音','http://localhost:8080/wangshangshangchengB/upload/pics/音箱及录音/guitaramplifier/Orange TH30电子管箱头.jpg','guitaramplifier','Orange','Orange TH30电子管箱头','2024-08-31 20:00:00',1,19359.66),
(209,'2024-08-31 20:00:00','ORANGE英产PPC412吉他箱体','音箱及录音','http://localhost:8080/wangshangshangchengB/upload/pics/音箱及录音/guitaramplifier/ORANGE英产PPC412吉他箱体.jpg','guitaramplifier','ORANGE英产PPC412吉他箱体.jpg','ORANGE英产PPC412吉他箱体','2024-08-31 20:00:00',1,71765.59),
(210,'2024-08-31 20:00:00','Orange英产Rockerverb 50 MKIII吉他箱头','音箱及录音','http://localhost:8080/wangshangshangchengB/upload/pics/音箱及录音/guitaramplifier/Orange英产Rockerverb 50 MKIII吉他箱头.jpg','guitaramplifier','Orange英产Rockerverb','Orange英产Rockerverb 50 MKIII吉他箱头','2024-08-31 20:00:00',1,28086.5),
(211,'2024-08-31 20:00:00','Orange Acoustic Pedal木吉他前置放大器','音箱及录音','http://localhost:8080/wangshangshangchengB/upload/pics/音箱及录音/guitarpedals/Orange Acoustic Pedal木吉他前置放大器.jpg','guitarpedals','Orange','Orange Acoustic Pedal木吉他前置放大器','2024-08-31 20:00:00',1,78366.32),
(212,'2024-08-31 20:00:00','Orange Terror Stamp吉他箱头','音箱及录音','http://localhost:8080/wangshangshangchengB/upload/pics/音箱及录音/guitarpedals/Orange Terror Stamp吉他箱头.jpg','guitarpedals','Orange','Orange Terror Stamp吉他箱头','2024-08-31 20:00:00',1,37788.19),
(213,'2024-08-31 20:00:00','Roland PM-100 电子鼓监听音箱','鼓及敲击乐','http://localhost:8080/wangshangshangchengB/upload/pics/鼓及敲击乐/electricdrum/Roland PM-100 电子鼓监听音箱.jpg','electricdrum','Roland','Roland PM-100 电子鼓监听音箱','2024-08-31 20:00:00',1,69649.4),
(214,'2024-08-31 20:00:00','Roland TD-07KV电子鼓','鼓及敲击乐','http://localhost:8080/wangshangshangchengB/upload/pics/鼓及敲击乐/electricdrum/Roland TD-07KV电子鼓.jpg','electricdrum','Roland','Roland TD-07KV电子鼓','2024-08-31 20:00:00',1,4930.36),
(215,'2024-08-31 20:00:00','Roland TD-17KVX电子鼓','鼓及敲击乐','http://localhost:8080/wangshangshangchengB/upload/pics/鼓及敲击乐/electricdrum/Roland TD-17KVX电子鼓.jpg','electricdrum','Roland','Roland TD-17KVX电子鼓','2024-08-31 20:00:00',1,78498.41),
(216,'2024-08-31 20:00:00','Roland TD-27KV电子鼓','鼓及敲击乐','http://localhost:8080/wangshangshangchengB/upload/pics/鼓及敲击乐/electricdrum/Roland TD-27KV电子鼓.jpg','electricdrum','Roland','Roland TD-27KV电子鼓','2024-08-31 20:00:00',1,23490.91),
(217,'2024-08-31 20:00:00','Roland TD-50KV2电子鼓','鼓及敲击乐','http://localhost:8080/wangshangshangchengB/upload/pics/鼓及敲击乐/electricdrum/Roland TD-50KV2电子鼓.jpg','electricdrum','Roland','Roland TD-50KV2电子鼓','2024-08-31 20:00:00',1,87695.64),
(218,'2024-08-31 20:00:00','Roland TD17KV电子鼓','鼓及敲击乐','http://localhost:8080/wangshangshangchengB/upload/pics/鼓及敲击乐/electricdrum/Roland TD17KV电子鼓.jpg','electricdrum','Roland','Roland TD17KV电子鼓','2024-08-31 20:00:00',1,69634.98),
(219,'2024-08-31 20:00:00','Roland VAD306 电子鼓','鼓及敲击乐','http://localhost:8080/wangshangshangchengB/upload/pics/鼓及敲击乐/electricdrum/Roland VAD306 电子鼓.jpg','electricdrum','Roland','Roland VAD306 电子鼓','2024-08-31 20:00:00',1,29420.18),
(220,'2024-08-31 20:00:00','Roland VAD506电子鼓','鼓及敲击乐','http://localhost:8080/wangshangshangchengB/upload/pics/鼓及敲击乐/electricdrum/Roland VAD506电子鼓.jpg','electricdrum','Roland','Roland VAD506电子鼓','2024-08-31 20:00:00',1,60013.67),
(221,'2024-08-31 20:00:00','Roland VAD706 电子鼓','鼓及敲击乐','http://localhost:8080/wangshangshangchengB/upload/pics/鼓及敲击乐/electricdrum/Roland VAD706 电子鼓.jpg','electricdrum','Roland','Roland VAD706 电子鼓','2024-08-31 20:00:00',1,81589.22);
